序号,商品编号,商品名称,价格,销量,产地
61,11290165387,同仁堂（TRT） 北京同仁堂生姜洗发水 ,129.00,9300+,中国大陆
62,1647804,资生堂水之密语 （AQUAIR）净澄水活（倍润型）洗发露200ml(洗发水强韧发质),36.00,34万+,上海
63,27953402544,洗发水控油去屑生发增发密发洗发液女老姜汁洗护套装无硅油 单瓶防脱【轻度-1周期】,88.00,3000+,中国大陆
64,1159597667,LUSH洗发皂 岚舒小红帽洗发皂防脱生发,81.00,1万+,-1
65,30760523476,宜莱雅（YILAIYA） 生发液脱发生长液生发增发密发固发发际线生发液男女,398.00,40+,中国
66,29472693781,章光101瑞丝防脱香波,235.00,1.2万+,大陆
67,5675365,爱茉莉 爱茉诗(AMOS)02绿茶,189.00,2400+,韩国
68,5394061,吕(Ryo)滋养韧发密集强韧洗发水(中干性头皮)400ml 紫吕洗发水滋润型,98.00,12万+,韩国
69,27562155714,卡诗（KERASTASE） 【英国直邮】根源特护系列丰盈蓬松纤细发质洗发水露 去油防掉发 250ml,189.00,4,法国
70,29088806772,章光101瑞丝氨基酸无硅油生姜洗发水生发,58.00,1900+,中国
71,1474597706,生姜洗发水老姜王育发控油姜汁洗头膏无硅油洗发露 洗发水800ml+护发素800ml,201.00,2.7万+,中国
72,1962031822,【第二支5折】露华浓（Revlon）生姜洗发水男女士保湿洗发露护发素,46.00,1.5万+,-1
73,5793189,吕(Ryo)滋养韧发密集强韧套组(油性头皮400ml洗发水+200ml护发乳) 紫吕套组清爽型,124.00,5.4万+,韩国
74,5120844,霸王防脱活发滋养毛囊护理洗护套装（,328.00,9万+,中国大陆广东省
75,27953402546,洗发水控油去屑生发增发密发洗发液女老姜汁洗护套装无硅油 单瓶防脱+单瓶发膜【套装】,158.00,3000+,中国大陆
76,1967106055,美体小铺（The Body Shop） 英国 生姜洗发水400ml TBS去屑止痒缓解防掉发 400ml新版,,7400+,英国
77,22856172723,卡诗（KERASTASE）白金赋活洗发水1L 改善细软稀疏发质防止脱发掉发活力强健洗发露 白金赋活洗发水1L,480.00,200+,-1
78,1017645273,洗发液去屑止痒洗发露男女士控油洗头水套装,39.00,3800+,广东
79,2731501,琴叶生姜,38.50,2.8万+,广东
80,8951329,欧舒丹（L'OCCITANE）强韧丰盈防落发洗发露500ml（强韧发丝 丰盈蓬松 修复秀发 滋润 不干枯）,260.00,1.5万+,法国
81,29088806771,章光101瑞丝氨基酸无硅油生姜洗发水生发,132.00,1900+,中国
82,8048381,Rogaine 落健 美国进口男性浓密,489.00,1800+,意大利
83,5575894,吕(Ryo)滋养韧发密集强韧套组(中干性头皮400ml洗发水+200ml护发乳) 紫吕套组滋润型,124.00,5.4万+,韩国
84,30016721965,九叶草 正品生姜洗发水防止脱固发草本去油无硅油去屑长发增长液老姜王防掉发洗发护发液增发密发男女士通用,88.00,1400+,中国大陆
85,30752390724,宜莱雅（YILAIYA） 洗发水防掉发断发增发密发发际线防秃掉头发白发变黑生发液男女,385.00,100+,中国
86,7301533,韩国进口 吕(Ryo) 红真丹滋养护发洗发水 820ml/瓶 修护损伤 滋养韧发 丰盈发丝,65.00,17万+,韩国
87,29162504330,章光101瑞丝防脱香波,146.99,1.2万+,大陆
88,7428832,滋源 seeyoung 繁花星辰 强韧香氛 洗头水 535ml 无硅油无硫酸盐 丰盈蓬松 强韧发丝,125.00,49万+,中国大陆
89,7171286,箭牌（MANE 'N TAIL）经典配方洗发露355ml(清爽控油 强韧发质 无硅油 美国原装进口）,49.90,4900+,美国
90,31275406477,去头屑男女 一瓶400ML,65.00,600+,泰国
91,11290165387,同仁堂（TRT） 北京同仁堂生姜洗发水 ,129.00,9300+,中国大陆
92,1647804,资生堂水之密语 （AQUAIR）净澄水活（倍润型）洗发露200ml(洗发水强韧发质),36.00,34万+,上海
93,27953402544,洗发水控油去屑生发增发密发洗发液女老姜汁洗护套装无硅油 单瓶防脱【轻度-1周期】,88.00,3000+,中国大陆
94,1159597667,LUSH洗发皂 岚舒小红帽洗发皂防脱生发,81.00,1万+,-1
95,11194414473,小助手（LittleHelper） 侧柏叶植物控油洗发水酸性生姜洗发液脂溢性姜汁油性脱发男女去屑止痒 侧柏叶洗发水500ml*1,58.00,5000+,中国大陆
96,29472693781,章光101瑞丝防脱香波,235.00,1.2万+,大陆
97,5675365,爱茉莉 爱茉诗(AMOS)02绿茶,189.00,2400+,韩国
98,5394061,吕(Ryo)滋养韧发密集强韧洗发水(中干性头皮)400ml 紫吕洗发水滋润型,98.00,12万+,韩国
99,27562155714,卡诗（KERASTASE） 【英国直邮】根源特护系列丰盈蓬松纤细发质洗发水露 去油防掉发 250ml,189.00,4,法国
100,29088806772,章光101瑞丝氨基酸无硅油生姜洗发水生发,58.00,1900+,中国
101,1474597706,生姜洗发水老姜王育发控油姜汁洗头膏无硅油洗发露 洗发水800ml+护发素800ml,201.00,2.7万+,中国
102,1962031822,【第二支5折】露华浓（Revlon）生姜洗发水男女士保湿洗发露护发素,46.00,1.5万+,-1
103,5793189,吕(Ryo)滋养韧发密集强韧套组(油性头皮400ml洗发水+200ml护发乳) 紫吕套组清爽型,124.00,5.4万+,韩国
104,5120844,霸王防脱活发滋养毛囊护理洗护套装（,328.00,9万+,中国大陆广东省
105,27953402546,洗发水控油去屑生发增发密发洗发液女老姜汁洗护套装无硅油 单瓶防脱+单瓶发膜【套装】,158.00,3000+,中国大陆
106,1967106055,美体小铺（The Body Shop） 英国 生姜洗发水400ml TBS去屑止痒缓解防掉发 400ml新版,,7400+,英国
107,22856172723,卡诗（KERASTASE）白金赋活洗发水1L 改善细软稀疏发质防止脱发掉发活力强健洗发露 白金赋活洗发水1L,480.00,200+,-1
108,1017645273,洗发液去屑止痒洗发露男女士控油洗头水套装,39.00,3800+,广东
109,2731501,琴叶生姜,38.50,2.8万+,广东
110,8951329,欧舒丹（L'OCCITANE）强韧丰盈防落发洗发露500ml（强韧发丝 丰盈蓬松 修复秀发 滋润 不干枯）,260.00,1.5万+,法国
111,29088806771,章光101瑞丝氨基酸无硅油生姜洗发水生发,132.00,1900+,中国
112,8048381,Rogaine 落健 美国进口男性浓密,489.00,1800+,意大利
113,5575894,吕(Ryo)滋养韧发密集强韧套组(中干性头皮400ml洗发水+200ml护发乳) 紫吕套组滋润型,124.00,5.4万+,韩国
114,30016721965,九叶草 正品生姜洗发水防止脱固发草本去油无硅油去屑长发增长液老姜王防掉发洗发护发液增发密发男女士通用,88.00,1400+,中国大陆
115,1995613960,资生堂（Shiseido） ADENOGEN 不老林无硅油健发 ,239.00,2500+,日本
116,7301533,韩国进口 吕(Ryo) 红真丹滋养护发洗发水 820ml/瓶 修护损伤 滋养韧发 丰盈发丝,65.00,17万+,韩国
117,29162504330,章光101瑞丝防脱香波,146.99,1.2万+,大陆
118,7428832,滋源 seeyoung 繁花星辰 强韧香氛 洗头水 535ml 无硅油无硫酸盐 丰盈蓬松 强韧发丝,125.00,49万+,中国大陆
119,7171286,箭牌（MANE 'N TAIL）经典配方洗发露355ml(清爽控油 强韧发质 无硅油 美国原装进口）,49.90,4900+,美国
120,31275406477,去头屑男女 一瓶400ML,65.00,600+,泰国
